Year;Month;Inflation;;;;;;;;;;;;;
2021;Sep;0.22;;;;;;;;;;;;;
2021;Aug;0.30;;;;;;;;;;;;;
2021;Jul;0.60;;;;;;;;;;;;;
2021;Jun;0.28;;;;;;;;;;;;;
2021;May;0.15;;;;;;;;;;;;;
2021;Apr;0.17;;;;;;;;;;;;;
2021;Mar;0.18;;;;;;;;;;;;;
2021;Feb;0.08;;;;;;;;;;;;;
2021;Jan;1.12;;;;;;;;;;;;;
2020;Dec;0.12;;;;;;;;;;;;;
2020;Nov;0.10;;;;;;;;;;;;;
2020;Oct;0.12;;;;;;;;;;;;;
2020;Sep;-0.06;;;;;;;;;;;;;
2020;Aug;-0.46;;;;;;;;;;;;;
2020;Jul;0.20;;;;;;;;;;;;;
2020;Jun;0.21;;;;;;;;;;;;;
2020;May;-0.17;;;;;;;;;;;;;
2020;Apr;-0.16;;;;;;;;;;;;;
2020;Mar;-0.25;;;;;;;;;;;;;
2020;Feb;0.01;;;;;;;;;;;;;
2020;Jan;0.06;;;;;;;;;;;;;
2019;Dec;0.14;;;;;;;;;;;;;
2019;Nov;0.11;;;;;;;;;;;;;
2019;Oct;0.07;;;;;;;;;;;;;
2019;Sep;0.07;;;;;;;;;;;;;
2019;Aug;0.08;;;;;;;;;;;;;
2019;Jul;0.10;;;;;;;;;;;;;
2019;Jun;0.04;;;;;;;;;;;;;
2019;May;0.06;;;;;;;;;;;;;
2019;Apr;0.31;;;;;;;;;;;;;
2019;Mar;0.20;;;;;;;;;;;;;
2019;Feb;0.13;;;;;;;;;;;;;
2019;Jan;0.02;;;;;;;;;;;;;
2018;Dec;-0.29;;;;;;;;;;;;;
2018;Nov;-0.01;;;;;;;;;;;;;
2018;Oct;0.20;;;;;;;;;;;;;
2018;Sep;0.27;;;;;;;;;;;;;
2018;Aug;0.10;;;;;;;;;;;;;
2018;Jul;0.16;;;;;;;;;;;;;
2018;Jun;0.13;;;;;;;;;;;;;
2018;May;0.38;;;;;;;;;;;;;
2018;Apr;0.14;;;;;;;;;;;;;
2018;Mar;0.15;;;;;;;;;;;;;
2018;Feb;-0.00;;;;;;;;;;;;;
2018;Jan;0.30;;;;;;;;;;;;;
2017;Dec;0.11;;;;;;;;;;;;;
2017;Nov;0.30;;;;;;;;;;;;;
2017;Oct;0.03;;;;;;;;;;;;;
2017;Sep;0.22;;;;;;;;;;;;;
2017;Aug;0.17;;;;;;;;;;;;;
2017;Jul;0.08;;;;;;;;;;;;;
2017;Jun;-0.04;;;;;;;;;;;;;
2017;May;-0.12;;;;;;;;;;;;;
2017;Apr;0.18;;;;;;;;;;;;;
2017;Mar;-0.09;;;;;;;;;;;;;
2017;Feb;0.18;;;;;;;;;;;;;
2017;Jan;0.35;;;;;;;;;;;;;
2016;Dec;0.30;;;;;;;;;;;;;
2016;Nov;0.11;;;;;;;;;;;;;
2016;Oct;0.21;;;;;;;;;;;;;
2016;Sep;0.13;;;;;;;;;;;;;
2016;Aug;-0.01;;;;;;;;;;;;;
2016;Jul;0.02;;;;;;;;;;;;;
2016;Jun;0.21;;;;;;;;;;;;;
2016;May;0.24;;;;;;;;;;;;;
2016;Apr;0.00;;;;;;;;;;;;;
2016;Mar;0.22;;;;;;;;;;;;;
2016;Feb;-0.06;;;;;;;;;;;;;
2016;Jan;-0.27;;;;;;;;;;;;;
2015;Dec;-0.20;;;;;;;;;;;;;
2015;Nov;0.03;;;;;;;;;;;;;
2015;Oct;0.08;;;;;;;;;;;;;
2015;Sep;-0.06;;;;;;;;;;;;;
2015;Aug;-0.06;;;;;;;;;;;;;
2015;Jul;-0.09;;;;;;;;;;;;;
2015;Jun;0.04;;;;;;;;;;;;;
2015;May;0.18;;;;;;;;;;;;;
2015;Apr;0.10;;;;;;;;;;;;;
2015;Mar;0.20;;;;;;;;;;;;;
2015;Feb;0.37;;;;;;;;;;;;;
2015;Jan;-0.17;;;;;;;;;;;;;
2014;Dec;-0.28;;;;;;;;;;;;;
2014;Nov;-0.07;;;;;;;;;;;;;
2014;Oct;-0.12;;;;;;;;;;;;;
2014;Sep;0.11;;;;;;;;;;;;;
2014;Aug;0.05;;;;;;;;;;;;;
2014;Jul;0.00;;;;;;;;;;;;;
2014;Jun;0.08;;;;;;;;;;;;;
2014;May;-0.09;;;;;;;;;;;;;
2014;Apr;0.03;;;;;;;;;;;;;
2014;Mar;-0.03;;;;;;;;;;;;;
2014;Feb;0.08;;;;;;;;;;;;;
2014;Jan;0.07;;;;;;;;;;;;;
2013;Dec;0.20;;;;;;;;;;;;;
2013;Nov;0.01;;;;;;;;;;;;;
2013;Oct;-0.18;;;;;;;;;;;;;
2013;Sep;0.07;;;;;;;;;;;;;
2013;Aug;0.06;;;;;;;;;;;;;
2013;Jul;0.16;;;;;;;;;;;;;
2013;Jun;0.14;;;;;;;;;;;;;
2013;May;0.03;;;;;;;;;;;;;
2013;Apr;-0.09;;;;;;;;;;;;;
2013;Mar;0.14;;;;;;;;;;;;;
2013;Feb;0.13;;;;;;;;;;;;;
2013;Jan;0.23;;;;;;;;;;;;;
2012;Dec;0.10;;;;;;;;;;;;;
2012;Nov;-0.07;;;;;;;;;;;;;
2012;Oct;0.14;;;;;;;;;;;;;
2012;Sep;0.28;;;;;;;;;;;;;
2012;Aug;0.34;;;;;;;;;;;;;
2012;Jul;0.20;;;;;;;;;;;;;
2012;Jun;-0.00;;;;;;;;;;;;;
2012;May;-0.11;;;;;;;;;;;;;
2012;Apr;0.26;;;;;;;;;;;;;
2012;Mar;0.32;;;;;;;;;;;;;
2012;Feb;0.29;;; CY; LU; MT; AT; FI.  See Box 3 in the April 2012 ECB Monthly Bulletin for details.;0.45;;;;;
2012;Jan; IE;;;;;;;;;;;;;
2011;Dec;0.09;;;;;;;;;;;;;
2011;Nov;0.21;;;;;;;;;;;;;
2011;Oct;0.25;;;;;;;;;;;;;
2011;Sep;0.23;;;;;;;;;;;;;
2011;Aug;0.16;;;;;;;;;;;;;
2011;Jul;0.23;;;;;;;;;;;;;
2011;Jun;0.02;;;;;;;;;;;;;
2011;May;0.06;;;;;;;;;;;;;
2011;Apr;0.37;;;;;;;;;;;;;
2011;Mar;0.35;;;;;;;;;;;;;
2011;Feb;0.23;;; GR; FR; IT; CY; LU; MT; PT; SI; SK. The Regulation had particularly large impacts on clothing and footwear and to a lesser extent fruit and vegetables. In addition; NL implemented a new methodology for package holidays and air transport. These changes have a distorting impact on the annual rates of change in 2011.  See Box 3 in the April 2011 ECB Monthly Bulletin for details.;0.50
2011;Jan; EE;;;;;;;;;;;;;
2010;Dec;0.34;;;;;;;;;;;;;
2010;Nov;0.19;;;;;;;;;;;;;
2010;Oct;0.17;;;;;;;;;;;;;
2010;Sep;0.11;;;;;;;;;;;;;
2010;Aug;0.09;;;;;;;;;;;;;
2010;Jul;0.14;;;;;;;;;;;;;
2010;Jun;0.07;;;;;;;;;;;;;
2010;May;0.07;;;;;;;;;;;;;
2010;Apr;0.33;;;;;;;;;;;;;
2010;Mar;0.34;;;;;;;;;;;;;
2010;Feb;0.04;;;;;;;;;;;;;
2010;Jan;0.28;;;;;;;;;;;;;
2009;Dec;0.05;;;;;;;;;;;;;
2009;Nov;0.21;;;;;;;;;;;;;
2009;Oct;0.02;;;;;;;;;;;;;
2009;Sep;-0.06;;;;;;;;;;;;;
2009;Aug;0.25;;;;;;;;;;;;;
2009;Jul;-0.17;;;;;;;;;;;;;
2009;Jun;0.27;;;;;;;;;;;;;
2009;May;0.07;;;;;;;;;;;;;
2009;Apr;0.15;;;;;;;;;;;;;
2009;Mar;-0.11;;;;;;;;;;;;;
2009;Feb;0.16;;;;;;;;;;;;;
2009;Jan;0.06;;;;;;;;;;;;;
2008;Dec;-0.38;;;;;;;;;;;;;
2008;Nov;-0.41;;;;;;;;;;;;;
2008;Oct;-0.14;;;;;;;;;;;;;
2008;Sep;0.09;;;;;;;;;;;;;
2008;Aug;-0.20;;;;;;;;;;;;;
2008;Jul;0.30;;;;;;;;;;;;;
2008;Jun;0.46;;;;;;;;;;;;;
2008;May;0.58;;;;;;;;;;;;;
2008;Apr;0.21;;;;;;;;;;;;;
2008;Mar;0.47;;;;;;;;;;;;;
2008;Feb;0.14;;; introduction of explicit weights for outlets and implementation of regulation (EC) No 701/2006 on the temporal coverage of price collection in the HICP;0.44;;;;;;;;;
2008;Jan; updated of volume structure of the weights;;;;;;;;;;;;;
2007;Dec;0.15;;;;;;;;;;;;;
2007;Nov;0.60;;;;;;;;;;;;;
2007;Oct;0.34;;;;;;;;;;;;;
2007;Sep;0.22;;;;;;;;;;;;;
2007;Aug;0.09;;;;;;;;;;;;;
2007;Jul;0.20;;;;;;;;;;;;;
2007;Jun;0.15;;;;;;;;;;;;;
2007;May;0.21;;;;;;;;;;;;;
2007;Apr;0.44;;;;;;;;;;;;;
2007;Mar;0.21;;;;;;;;;;;;;
2007;Feb;0.15;;;;;;;;;;;;;
2007;Jan;0.25;;;;;;;;;;;;;
2006;Dec;0.12;;;;;;;;;;;;;
2006;Nov;0.12;;;;;;;;;;;;;
2006;Oct;-0.06;;;;;;;;;;;;;
2006;Sep;-0.14;;;;;;;;;;;;;
2006;Aug;0.14;;;;;;;;;;;;;
2006;Jul;0.29;;;;;;;;;;;;;
2006;Jun;0.17;;;;;;;;;;;;;
2006;May;0.27;;;;;;;;;;;;;
2006;Apr;0.37;;;;;;;;;;;;;
2006;Mar;0.18;;;;;;;;;;;;;
2006;Feb;0.17;;;;;;;;;;;;;
2006;Jan;0.27;;;;;;;;;;;;;
2005;Dec;0.08;;;;;;;;;;;;;
2005;Nov;-0.17;;;;;;;;;;;;;
2005;Oct;0.12;;;;;;;;;;;;;
2005;Sep;0.41;;;;;;;;;;;;;
2005;Aug;0.25;;;;;;;;;;;;;
2005;Jul;0.31;;;;;;;;;;;;;
2005;Jun;0.20;;;;;;;;;;;;;
2005;May;0.09;;;;;;;;;;;;;
2005;Apr;0.24;;;;;;;;;;;;;
2005;Mar;0.36;;;;;;;;;;;;;
2005;Feb;0.23;;;;;;;;;;;;;
2005;Jan;0.06;;;;;;;;;;;;;
2004;Dec;0.11;;;;;;;;;;;;;
2004;Nov;-0.00;;;;;;;;;;;;;
2004;Oct;0.28;;;;;;;;;;;;;
2004;Sep;0.05;;;;;;;;;;;;;
2004;Aug;0.23;;;;;;;;;;;;;
2004;Jul;0.13;;;;;;;;;;;;;
2004;Jun;0.11;;;;;;;;;;;;;
2004;May;0.28;;;;;;;;;;;;;
2004;Apr;0.28;;;;;;;;;;;;;
2004;Mar;0.31;;;;;;;;;;;;;
2004;Feb;0.15;;;;;;;;;;;;;
2004;Jan;0.34;;;;;;;;;;;;;
2003;Dec;0.05;;;;;;;;;;;;;
2003;Nov;0.09;;;;;;;;;;;;;
2003;Oct;0.08;;;;;;;;;;;;;
2003;Sep;0.26;;;;;;;;;;;;;
2003;Aug;0.23;;;;;;;;;;;;;
2003;Jul;0.18;;;;;;;;;;;;;
2003;Jun;0.16;;;;;;;;;;;;;
2003;May;-0.05;;;;;;;;;;;;;
2003;Apr;-0.11;;;;;;;;;;;;;
2003;Mar;0.28;;;;;;;;;;;;;
2003;Feb;0.31;;;;;;;;;;;;;
2003;Jan;0.48;;;;;;;;;;;;;
2002;Dec;0.16;;;;;;;;;;;;;
2002;Nov;0.01;;;;;;;;;;;;;
2002;Oct;0.17;;;;;;;;;;;;;
2002;Sep;0.20;;;;;;;;;;;;;
2002;Aug;0.16;;;;;;;;;;;;;
2002;Jul;0.21;;;;;;;;;;;;;
2002;Jun;0.02;;;;;;;;;;;;;
2002;May;0.10;;;;;;;;;;;;;
2002;Apr;0.28;;;;;;;;;;;;;
2002;Mar;0.23;;;;;;;;;;;;;
2002;Feb;0.11;;;;;;;;;;;;;
2002;Jan;0.64;;;;;;;;;;;;;
2001;Dec;0.12;;;;;;;;;;;;;
2001;Nov;-0.00;;;;;;;;;;;;;
2001;Oct;0.01;;;;;;;;;;;;;
2001;Sep;0.23;;;;;;;;;;;;;
2001;Aug;0.07;;;;;;;;;;;;;
2001;Jul;0.05;;;;;;;;;;;;;
2001;Jun;0.17;;;;;;;;;;;;;
2001;May;0.44;;;;;;;;;;;;;
2001;Apr;0.38;;;;;;;;;;;;;
2001;Mar;0.22;;;;;;;;;;;;;
2001;Feb;0.30;;;;;;;;;;;;;
2001;Jan;-0.07;;;;;;;;;;;;;
2000;Dec;-0.12;;;;;;;;;;;;;
2000;Nov;0.29;;;;;;;;;;;;;
2000;Oct;0.07;;;;;;;;;;;;;
2000;Sep;0.48;;;;;;;;;;;;;
2000;Aug;0.20;;;;;;;;;;;;;
2000;Jul;0.13;;;;;;;;;;;;;
2000;Jun;0.39;;;;;;;;;;;;;
2000;May;0.14;;;;;;;;;;;;;
2000;Apr;-0.02;;;;;;;;;;;;;
2000;Mar;0.22;;;;;;;;;;;;;
2000;Feb;0.17;;;;;;;;;;;;;
2000;Jan;0.14;;;;;;;;;;;;;
1999;Dec;0.27;;;;;;;;;;;;;
1999;Nov;0.16;;;;;;;;;;;;;
1999;Oct;0.16;;;;;;;;;;;;;
1999;Sep;0.11;;;;;;;;;;;;;
1999;Aug;0.18;;;;;;;;;;;;;
1999;Jul;0.21;;;;;;;;;;;;;
1999;Jun;0.04;;;;;;;;;;;;;
1999;May;-0.02;;;;;;;;;;;;;
1999;Apr;0.37;;;;;;;;;;;;;
1999;Mar;0.20;;;;;;;;;;;;;
1999;Feb;0.04;;;;;;;;;;;;;
1999;Jan;-0.00;;;;;;;;;;;;;
1998;Dec;0.00;;;;;;;;;;;;;
1998;Nov;0.01;;;;;;;;;;;;;
1998;Oct;0.04;;;;;;;;;;;;;
1998;Sep;0.04;;;;;;;;;;;;;
1998;Aug;0.10;;;;;;;;;;;;;
1998;Jul;0.04;;;;;;;;;;;;;
1998;Jun;0.10;;;;;;;;;;;;;
1998;May;0.13;;;;;;;;;;;;;
1998;Apr;0.18;;;;;;;;;;;;;
1998;Mar;0.03;;;;;;;;;;;;;
1998;Feb;0.05;;;;;;;;;;;;;
1998;Jan;-0.02;;;;;;;;;;;;;
1997;Dec;0.05;;;;;;;;;;;;;
1997;Nov;0.13;;;;;;;;;;;;;
1997;Oct;0.10;;;;;;;;;;;;;
1997;Sep;0.15;;;;;;;;;;;;;
1997;Aug;0.28;;;;;;;;;;;;;
1997;Jul;0.14;;;;;;;;;;;;;
1997;Jun;0.05;;;;;;;;;;;;;
1997;May;0.14;;;;;;;;;;;;;
1997;Apr;-0.01;;;;;;;;;;;;;
1997;Mar;-0.02;;;;;;;;;;;;;
1997;Feb;-0.03;;;;;;;;;;;;;
